Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.589,0.5262008733624454,0.5540229885057472,0.5397536394176932,0.6066483572373105,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Entropy,57
Logistic Regression,0.572,0.5083135391923991,0.49195402298850577,0.5,0.6076655477570949,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Entropy,57
SVM,0.606,0.5493975903614458,0.5241379310344828,0.5364705882352941,0.6433933475740006,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),420
Logistic Regression,0.534,0.4662309368191721,0.49195402298850577,0.47874720357941836,0.5618146678872953,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Anterior (Frontal),420
SVM,0.584,0.5216400911161732,0.5264367816091954,0.5240274599542334,0.6174834706540535,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,420
Logistic Regression,0.544,0.4797687861271676,0.5724137931034483,0.5220125786163522,0.5799776218085647,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Central & Temporal,420
SVM,0.62,0.5685785536159601,0.5241379310344828,0.5454545454545454,0.655782728104974,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,490
Logistic Regression,0.559,0.49369747899159666,0.5402298850574713,0.5159165751920965,0.5932377174244736,W2_5s_late,ICA_Cleaned,Scalp Region (Omit),Omit Posterior,490
SVM,0.599,0.5416666666666666,0.5080459770114942,0.5243179122182681,0.6170359068253484,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),245
Logistic Regression,0.597,0.5337552742616034,0.5816091954022988,0.5566556655665567,0.624542772861357,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Anterior (Frontal),245
SVM,0.618,0.5632458233890215,0.542528735632184,0.5526932084309133,0.6608686807038959,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,245
Logistic Regression,0.585,0.521551724137931,0.5563218390804597,0.5383759733036707,0.602632489065202,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Central & Temporal,245
SVM,0.585,0.5228310502283106,0.5264367816091954,0.5246277205040092,0.6109042823720883,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,175
Logistic Regression,0.526,0.4613861386138614,0.535632183908046,0.4957446808510638,0.5463737157969688,W2_5s_late,ICA_Cleaned,Scalp Region (Isolate),Only Posterior,175
SVM,0.621,0.5616740088105727,0.5862068965517241,0.5736782902137233,0.6465629132336487,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Delta,627
Logistic Regression,0.565,0.5,0.5241379310344828,0.5117845117845118,0.5726090936832469,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Delta,627
SVM,0.599,0.5355648535564853,0.5885057471264368,0.56078860898138,0.6350442477876106,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Theta,551
Logistic Regression,0.567,0.5020661157024794,0.5586206896551724,0.528835690968444,0.5930953107517039,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Theta,551
SVM,0.614,0.5558086560364465,0.5609195402298851,0.5583524027459954,0.6398474214220323,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,532
Logistic Regression,0.567,0.502283105022831,0.5057471264367817,0.5040091638029782,0.585966839589055,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Alpha,532
SVM,0.608,0.5474613686534217,0.5701149425287356,0.5585585585585585,0.6426853829722307,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Beta,627
Logistic Regression,0.546,0.48096192384769537,0.5517241379310345,0.5139186295503212,0.5577174244736038,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Beta,627
SVM,0.61,0.5510204081632653,0.5586206896551724,0.5547945205479452,0.6413793103448275,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,627
Logistic Regression,0.54,0.476280834914611,0.5770114942528736,0.5218295218295218,0.5766371681415929,W2_5s_late,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,627
SVM,0.578,0.5138592750533049,0.5540229885057472,0.5331858407079646,0.578740718136507,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Delta,38
Logistic Regression,0.554,0.48956356736242884,0.593103448275862,0.5363825363825364,0.5901698708168039,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Delta,38
SVM,0.588,0.529113924050633,0.4804597701149425,0.5036144578313253,0.5904506154002644,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Theta,114
Logistic Regression,0.569,0.5044843049327354,0.5172413793103449,0.5107832009080591,0.5875373817516021,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Theta,114
SVM,0.547,0.48043478260869565,0.5080459770114942,0.49385474860335193,0.5651062964093174,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,133
Logistic Regression,0.574,0.5093167701863354,0.5655172413793104,0.5359477124183006,0.5861214525480622,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,133
SVM,0.524,0.46210720887245843,0.5747126436781609,0.5122950819672131,0.5595809175058489,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Beta,38
Logistic Regression,0.548,0.4860426929392447,0.6804597701149425,0.5670498084291188,0.5686705319906418,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Beta,38
SVM,0.505,0.4353448275862069,0.46436781609195404,0.44938820912124583,0.5376848743769708,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,38
Logistic Regression,0.559,0.4942084942084942,0.5885057471264368,0.5372507869884575,0.6067541450513682,W2_5s_late,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,38
