Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_14,MW,14,5,3.0,-11.270599421424684,-12.151543716285362,-12.489825389245038,-12.721955381366449,-13.331660157492122
10,10_14,MW,14,6,3.5,-11.503585405341674,-12.050290600962692,-12.62780857207804,-12.669947812495714,-13.322136952773045
10,10_14,MW,14,7,4.0,-11.212340691488352,-11.946988451759275,-11.796148231916003,-12.424490527907532,-13.280902191364637
10,10_14,MW,14,8,4.5,-10.930473464007841,-11.669875132063435,-11.728929006944682,-12.429543503657563,-13.335051484167145
10,10_15,MW,15,0,0.5,-10.830150424564797,-11.711391195226135,-11.85450739440667,-12.520344031710698,-13.182920755571072
10,10_15,MW,15,1,1.0,-10.733767940373886,-11.804599008300878,-12.109660904859664,-12.573907981656733,-13.385102654865014
10,10_15,MW,15,2,1.5,-10.958707675275454,-11.732676759631014,-12.28838643712767,-12.678259501538088,-13.364817177905204
10,10_15,MW,15,3,2.0,-11.318300874093035,-11.849607216535432,-11.625925909536631,-12.521782584210571,-13.26210364038287
10,10_15,MW,15,4,2.5,-11.230145866191432,-11.795152906077744,-11.91887617961123,-12.536059100128105,-13.311974794546348
10,10_15,MW,15,5,3.0,-11.01188353607389,-11.888261483243992,-12.251292231541672,-12.645561338915119,-13.311123060742336
10,10_15,MW,15,6,3.5,-10.900895642233987,-11.954715221982244,-11.91376170806296,-12.402709154957325,-13.27945356953092
10,10_15,MW,15,7,4.0,-11.232218285352307,-11.817457879224529,-12.29983495422215,-12.515421427518799,-13.109512838361592
10,10_15,MW,15,8,4.5,-11.055819174308592,-11.858043020004182,-11.964363503214683,-12.193147655951998,-13.351642858638419
10,10_16,Focus,16,0,0.5,-11.334144758499239,-11.85631934861199,-12.218270657218323,-12.852000228848954,-13.31664287422063
10,10_16,Focus,16,1,1.0,-10.838922256224551,-11.772099551093314,-12.369203952743806,-12.810615395987101,-13.392319326753665
